city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
St. Louis Park,St. Louis Park,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.9488,-93.3649,49029,1782,polygon,FALSE,TRUE,America/Chicago,3,55426 55416,1840042962
Stockton,Stockton,MN,Minnesota,27169,Winona,27169,Winona,44.0271,-91.7697,731,166,polygon,FALSE,TRUE,America/Chicago,3,55987 55988,1840043038
Taunton,Taunton,MN,Minnesota,27083,Lyon,27083,Lyon,44.5942,-96.063,135,51,polygon,FALSE,TRUE,America/Chicago,3,56291,1840043056
Dennison,Dennison,MN,Minnesota,27049,Goodhue,27049|27131,Goodhue|Rice,44.4088,-93.0303,210,64,polygon,FALSE,TRUE,America/Chicago,3,55018,1840042285
Mantorville,Mantorville,MN,Minnesota,27039,Dodge,27039,Dodge,44.0656,-92.7537,1216,335,polygon,FALSE,TRUE,America/Chicago,3,55955,1840042676
Russell,Russell,MN,Minnesota,27083,Lyon,27083,Lyon,44.3199,-95.9474,338,142,polygon,FALSE,TRUE,America/Chicago,3,56169,1840042941
Nerstrand,Nerstrand,MN,Minnesota,27131,Rice,27131,Rice,44.3429,-93.0638,293,79,polygon,FALSE,TRUE,America/Chicago,3,55053,1840042754
Wabasso,Wabasso,MN,Minnesota,27127,Redwood,27127,Redwood,44.4025,-95.2554,665,301,polygon,FALSE,TRUE,America/Chicago,3,56293,1840043097
Wanda,Wanda,MN,Minnesota,27127,Redwood,27127,Redwood,44.3148,-95.2131,81,120,polygon,FALSE,TRUE,America/Chicago,3,56294,1840043108
Lino Lakes,Lino Lakes,MN,Minnesota,27003,Anoka,27003,Anoka,45.1679,-93.083,21407,292,polygon,FALSE,TRUE,America/Chicago,3,55014 55038,1840043738
Millville,Millville,MN,Minnesota,27157,Wabasha,27157,Wabasha,44.2447,-92.296,179,461,polygon,FALSE,TRUE,America/Chicago,3,55957,1840042719
Richville,Richville,MN,Minnesota,27111,Otter Tail,27111,Otter Tail,46.506,-95.6263,96,37,polygon,FALSE,TRUE,America/Chicago,3,56576,1840042902
Searles,Searles,MN,Minnesota,27015,Brown,27015,Brown,44.2307,-94.436,210,185,polygon,FALSE,FALSE,America/Chicago,3,56073 56084,1840117506
Red Lake,Red Lake,MN,Minnesota,27007,Beltrami,27007,Beltrami,47.8707,-95.0052,1760,140,polygon,FALSE,FALSE,America/Chicago,3,56671,1840110524
Kenneth,Kenneth,MN,Minnesota,27133,Rock,27133,Rock,43.7543,-96.0725,68,24,polygon,FALSE,TRUE,America/Chicago,3,56147,1840042566
Lowry,Lowry,MN,Minnesota,27121,Pope,27121,Pope,45.705,-95.519,295,248,polygon,FALSE,TRUE,America/Chicago,3,56349,1840042654
Esko,Esko,MN,Minnesota,27017,Carlton,27017,Carlton,46.71,-92.3721,1717,136,polygon,FALSE,FALSE,America/Chicago,3,55733,1840117492
Verndale,Verndale,MN,Minnesota,27159,Wadena,27159,Wadena,46.3971,-95.0112,572,225,polygon,FALSE,TRUE,America/Chicago,3,56481,1840043087
Trimont,Trimont,MN,Minnesota,27091,Martin,27091,Martin,43.7611,-94.7162,708,347,polygon,FALSE,TRUE,America/Chicago,3,56176,1840043069
Oslo,Oslo,MN,Minnesota,27089,Marshall,27089,Marshall,48.1947,-97.1318,323,384,polygon,FALSE,TRUE,America/Chicago,3,56744,1840042812
Sandstone,Sandstone,MN,Minnesota,27115,Pine,27115,Pine,46.1292,-92.8646,2631,192,polygon,FALSE,TRUE,America/Chicago,3,55072,1840042977
Kasson,Kasson,MN,Minnesota,27039,Dodge,27039,Dodge,44.0333,-92.7481,7589,819,polygon,FALSE,TRUE,America/Chicago,3,55944,1840042562
Springfield,Springfield,MN,Minnesota,27015,Brown,27015,Brown,44.2373,-94.9814,2022,430,polygon,FALSE,TRUE,America/Chicago,3,56087,1840043025
Elbow Lake,Elbow Lake,MN,Minnesota,27051,Grant,27051,Grant,45.9905,-95.9776,1151,333,polygon,FALSE,TRUE,America/Chicago,3,56531,1840042327
Bethel,Bethel,MN,Minnesota,27003,Anoka,27003,Anoka,45.4022,-93.2711,501,197,polygon,FALSE,TRUE,America/Chicago,3,55005,1840042107
Zimmerman,Zimmerman,MN,Minnesota,27141,Sherburne,27141,Sherburne,45.4416,-93.5981,8771,628,polygon,FALSE,TRUE,America/Chicago,3,55398,1840042595
Johnson,Johnson,MN,Minnesota,27011,Big Stone,27011,Big Stone,45.5723,-96.294,27,33,polygon,FALSE,TRUE,America/Chicago,3,56236 56221,1840042556
Wood Lake,Wood Lake,MN,Minnesota,27173,Yellow Medicine,27173,Yellow Medicine,44.6513,-95.5358,409,209,polygon,FALSE,TRUE,America/Chicago,3,56297,1840043172
Hilltop,Hilltop,MN,Minnesota,27003,Anoka,27003,Anoka,45.0536,-93.2501,754,2441,polygon,FALSE,TRUE,America/Chicago,2,55421,1840042509
Littlefork,Littlefork,MN,Minnesota,27071,Koochiching,27071,Koochiching,48.3964,-93.5578,610,197,polygon,FALSE,TRUE,America/Chicago,3,56653,1840042643
St. Vincent,St. Vincent,MN,Minnesota,27069,Kittson,27069,Kittson,48.9693,-97.2264,59,22,polygon,FALSE,TRUE,America/Chicago,3,56728 56755,1840042973
Peterson,Peterson,MN,Minnesota,27045,Fillmore,27045,Fillmore,43.7868,-91.8333,198,160,polygon,FALSE,TRUE,America/Chicago,3,55962,1840042843
Sturgeon Lake,Sturgeon Lake,MN,Minnesota,27115,Pine,27115,Pine,46.3863,-92.8241,414,42,polygon,FALSE,TRUE,America/Chicago,3,55783,1840043042
Silver Bay,Silver Bay,MN,Minnesota,27075,Lake,27075,Lake,47.294,-91.2779,1769,89,polygon,FALSE,TRUE,America/Chicago,3,55614,1840043704
